probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.6343832609941515,0.0585984668022701,5062565,1443742,722523,77.5235059261322,111.0
mlp,episode,continuous,future_action_mean,0.6095365255301817,0.05603807897310807,5062565,1443742,722523,61.83011722564697,92.0
ridge,episode,continuous,current_action,0.3840523730169107,0.14128320165038813,5062565,1443742,722523,0.9142282009124756,
ridge,episode,continuous,future_action_mean,0.35062712383143785,0.1377021189979229,5062565,1443742,722523,0.038811683654785156,
