probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.590573263996131,0.07365501356172685,5062565,1443742,722523,38.09911894798279,49.0
mlp,episode,continuous,future_action_mean,0.5704033329568426,0.06904599738741123,5062565,1443742,722523,67.26281404495239,94.0
ridge,episode,continuous,current_action,0.3751348165363938,0.14018910514613528,5062565,1443742,722523,0.8647363185882568,
ridge,episode,continuous,future_action_mean,0.3502566172531006,0.13601883369810702,5062565,1443742,722523,0.03636431694030762,
