probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.6053980681332557,0.07808156397382948,3289126,941386,476711,27.7812397480011,58.0
mlp,episode,continuous,future_action_mean,0.581587814657229,0.07553547911273158,3289126,941386,476711,27.31917643547058,58.0
ridge,episode,continuous,current_action,0.41602546857405986,0.13583817691806394,3289126,941386,476711,0.8072144985198975,
ridge,episode,continuous,future_action_mean,0.3773927893488595,0.13409643697574178,3289126,941386,476711,0.024342060089111328,
