probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.558488554806184,0.08427010367713002,2180590,623933,315038,29.84350895881653,101.0
mlp,episode,continuous,future_action_mean,0.5439490619734496,0.08423136042771122,2180590,623933,315038,13.685774087905884,42.0
ridge,episode,continuous,current_action,0.39077027477019316,0.15858011636845643,2180590,623933,315038,1.238044023513794,
ridge,episode,continuous,future_action_mean,0.3494623552800535,0.15727499535795536,2180590,623933,315038,0.018468856811523438,
