probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.671109280631302,0.061236670328859766,5062565,1443742,722523,82.29469680786133,121.0
mlp,episode,continuous,future_action_mean,0.6383242946311624,0.05945093280493114,5062565,1443742,722523,81.56707334518433,111.0
ridge,episode,continuous,current_action,0.4490339678619593,0.13377370647079098,5062565,1443742,722523,1.1234068870544434,
ridge,episode,continuous,future_action_mean,0.40235075003947657,0.13129923856693523,5062565,1443742,722523,0.03757119178771973,
