probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.5073165591995897,0.10198377383294785,2180590,623933,315038,19.63438105583191,57.0
mlp,episode,continuous,future_action_mean,0.47947880103098434,0.10134250099634776,2180590,623933,315038,12.223719596862793,33.0
ridge,episode,continuous,current_action,0.32737134386657624,0.17222951631996025,2180590,623933,315038,1.091616153717041,
ridge,episode,continuous,future_action_mean,0.281739902214434,0.17118581900760027,2180590,623933,315038,0.01681804656982422,
