probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.571672877264434,0.07570454809917979,3289126,941386,476711,43.03066635131836,89.0
mlp,episode,continuous,future_action_mean,0.556173147002483,0.07213092181421141,3289126,941386,476711,34.9195876121521,71.0
ridge,episode,continuous,current_action,0.37160702295768333,0.13283112028833174,3289126,941386,476711,1.0008199214935303,
ridge,episode,continuous,future_action_mean,0.3477500264926441,0.12905258531351102,3289126,941386,476711,0.023761272430419922,
