probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.6161983637562466,0.08518022487060535,3289126,941386,476711,19.25591206550598,39.0
mlp,episode,continuous,future_action_mean,0.5927035057281975,0.0828702640081497,3289126,941386,476711,20.510157346725464,43.0
ridge,episode,continuous,current_action,0.4360623044850458,0.12800862032623794,3289126,941386,476711,1.1434717178344727,
ridge,episode,continuous,future_action_mean,0.4093593403351966,0.12524430305180564,3289126,941386,476711,0.02613353729248047,
