probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.6212160160916376,0.06321698105381751,5062565,1443742,722523,80.64368414878845,111.0
mlp,episode,continuous,future_action_mean,0.591894795057666,0.06035221176183716,5062565,1443742,722523,86.4689269065857,118.0
ridge,episode,continuous,current_action,0.378101569474073,0.1401194795115422,5062565,1443742,722523,0.9929862022399902,
ridge,episode,continuous,future_action_mean,0.3403261961687116,0.1377847429882917,5062565,1443742,722523,0.03723549842834473,
