probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.5259309894369448,0.09517138661229445,3289126,941386,476711,27.31773805618286,56.0
mlp,episode,continuous,future_action_mean,0.5055853137137912,0.0914682978102092,3289126,941386,476711,19.054455041885376,38.0
ridge,episode,continuous,current_action,0.3338299887757495,0.14640663261098205,3289126,941386,476711,1.1906912326812744,
ridge,episode,continuous,future_action_mean,0.3109179548523855,0.14177394304182767,3289126,941386,476711,0.024712085723876953,
