probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.23007924101302685,0.18022154544839042,2180590,623933,315038,11.770382165908813,26.0
mlp,episode,continuous,future_action_mean,0.221257205615288,0.17301098744208002,2180590,623933,315038,12.27481722831726,26.0
ridge,episode,continuous,current_action,-0.022938479897586524,0.2687747721602439,2180590,623933,315038,0.35744762420654297,
ridge,episode,continuous,future_action_mean,-0.02735075524340366,0.254774919394248,2180590,623933,315038,0.07750749588012695,
