probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.517126868406228,0.09085009226373242,2180590,623933,315038,22.30214214324951,73.0
mlp,episode,continuous,future_action_mean,0.4995825640740891,0.08891326038349276,2180590,623933,315038,20.98228120803833,73.0
ridge,episode,continuous,current_action,0.3422730112892208,0.16557349346993075,2180590,623933,315038,1.2721185684204102,
ridge,episode,continuous,future_action_mean,0.2956815120964233,0.16521101945728786,2180590,623933,315038,0.016298294067382812,
