probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.6567473960944905,0.05197251984447956,5062565,1443742,722523,69.4552412033081,95.0
mlp,episode,continuous,future_action_mean,0.6344729395252582,0.0495497381999657,5062565,1443742,722523,64.09512591362,94.0
ridge,episode,continuous,current_action,0.40154154135107856,0.137752321852524,5062565,1443742,722523,1.118105173110962,
ridge,episode,continuous,future_action_mean,0.3699664519137424,0.13390719656371983,5062565,1443742,722523,0.037672996520996094,
