probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
mlp,episode,continuous,current_action,0.6836183922729252,0.033938974491748757,5062565,1443742,722523,55.93115520477295,82.0
mlp,episode,continuous,future_action_mean,0.6618080848228521,0.03255952671445128,5062565,1443742,722523,45.6995530128479,66.0
ridge,episode,continuous,current_action,0.3280598924724641,0.13982861037863367,5062565,1443742,722523,1.2271003723144531,
ridge,episode,continuous,future_action_mean,0.30324882135147174,0.13762326301792502,5062565,1443742,722523,0.03747749328613281,
