probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.67421656751299,0.6212160160916376,0.04512559265085956,0.06321698105381751,5062565,1443742,722523,80.64368414878845,111.0,0.06421642005443573
mlp,episode,continuous,current_action,1,0.9404824777881468,0.6212160160916376,0.009242799946039023,0.06321698105381751,5062565,1443742,722523,80.64368414878845,111.0,0.06421642005443573
mlp,episode,continuous,current_action,2,0.8947591201946259,0.6212160160916376,0.02195634854400282,0.06321698105381751,5062565,1443742,722523,80.64368414878845,111.0,0.06421642005443573
mlp,episode,continuous,current_action,3,0.48896979020037523,0.6212160160916376,0.000996528700850113,0.06321698105381751,5062565,1443742,722523,80.64368414878845,111.0,0.06421642005443573
mlp,episode,continuous,current_action,4,0.33295912677795325,0.6212160160916376,0.0049021498923675555,0.06321698105381751,5062565,1443742,722523,80.64368414878845,111.0,0.06421642005443573
mlp,episode,continuous,current_action,5,0.3738113673124015,0.6212160160916376,0.0036252180607454928,0.06321698105381751,5062565,1443742,722523,80.64368414878845,111.0,0.06421642005443573
mlp,episode,continuous,current_action,6,0.6433136628549703,0.6212160160916376,0.356670229581858,0.06321698105381751,5062565,1443742,722523,80.64368414878845,111.0,0.06421642005443573
mlp,episode,continuous,future_action_mean,0,0.6295670759186828,0.591894795057666,0.04944009130881035,0.06035221176183716,5062565,1443742,722523,86.4689269065857,118.0,0.06112884357571602
mlp,episode,continuous,future_action_mean,1,0.9125379204823153,0.591894795057666,0.013230824777179762,0.06035221176183716,5062565,1443742,722523,86.4689269065857,118.0,0.06112884357571602
mlp,episode,continuous,future_action_mean,2,0.8920858138351351,0.591894795057666,0.022000889792176622,0.06035221176183716,5062565,1443742,722523,86.4689269065857,118.0,0.06112884357571602
mlp,episode,continuous,future_action_mean,3,0.3871827961197468,0.591894795057666,0.0011549292929320207,0.06035221176183716,5062565,1443742,722523,86.4689269065857,118.0,0.06112884357571602
mlp,episode,continuous,future_action_mean,4,0.26876861526204365,0.591894795057666,0.005293647265063146,0.06035221176183716,5062565,1443742,722523,86.4689269065857,118.0,0.06112884357571602
mlp,episode,continuous,future_action_mean,5,0.39729276963552984,0.591894795057666,0.0034896182273079137,0.06035221176183716,5062565,1443742,722523,86.4689269065857,118.0,0.06112884357571602
mlp,episode,continuous,future_action_mean,6,0.6558285741502083,0.591894795057666,0.3278554816693903,0.06035221176183716,5062565,1443742,722523,86.4689269065857,118.0,0.06112884357571602
ridge,episode,continuous,current_action,0,0.2833943241449385,0.378101569474073,0.09925997639925656,0.1401194795115422,5062565,1443742,722523,0.9929862022399902,,
ridge,episode,continuous,current_action,1,0.8876827199793031,0.378101569474073,0.01744236169676763,0.1401194795115422,5062565,1443742,722523,0.9929862022399902,,
ridge,episode,continuous,current_action,2,0.8075125053599819,0.378101569474073,0.04015856319800829,0.1401194795115422,5062565,1443742,722523,0.9929862022399902,,
ridge,episode,continuous,current_action,3,0.2900731486349821,0.378101569474073,0.001384384854990841,0.1401194795115422,5062565,1443742,722523,0.9929862022399902,,
ridge,episode,continuous,current_action,4,0.15775724989726714,0.378101569474073,0.006189725956102029,0.1401194795115422,5062565,1443742,722523,0.9929862022399902,,
ridge,episode,continuous,current_action,5,0.031119823450294515,0.378101569474073,0.0056091754646695885,0.1401194795115422,5062565,1443742,722523,0.9929862022399902,,
ridge,episode,continuous,current_action,6,0.18917121485174382,0.378101569474073,0.8107921690110005,0.1401194795115422,5062565,1443742,722523,0.9929862022399902,,
ridge,episode,continuous,future_action_mean,0,0.1950937341775798,0.34032619616871157,0.10742738209889338,0.1377847429882917,5062565,1443742,722523,0.03723549842834473,,
ridge,episode,continuous,future_action_mean,1,0.8237585201973533,0.34032619616871157,0.026660927233821317,0.1377847429882917,5062565,1443742,722523,0.03723549842834473,,
ridge,episode,continuous,future_action_mean,2,0.8088441180008399,0.34032619616871157,0.03897170189065573,0.1377847429882917,5062565,1443742,722523,0.03723549842834473,,
ridge,episode,continuous,future_action_mean,3,0.23075589113596684,0.34032619616871157,0.001449735009260708,0.1377847429882917,5062565,1443742,722523,0.03723549842834473,,
ridge,episode,continuous,future_action_mean,4,0.11022572788822604,0.34032619616871157,0.006441396308195894,0.1377847429882917,5062565,1443742,722523,0.03723549842834473,,
ridge,episode,continuous,future_action_mean,5,0.030246723647455287,0.34032619616871157,0.0056147803421986294,0.1377847429882917,5062565,1443742,722523,0.03723549842834473,,
ridge,episode,continuous,future_action_mean,6,0.18335865813356034,0.34032619616871157,0.7779272780350162,0.1377847429882917,5062565,1443742,722523,0.03723549842834473,,
