model,checkpoint,view,source,tsne_x,tsne_y
sharedlam2,030000,raw,robot_3cam,21.28,-46.47
sharedlam2,030000,raw,robot_3cam,44.4,-56.88
sharedlam2,030000,raw,robot_3cam,24.47,-39.44
sharedlam2,030000,raw,robot_3cam,11.06,-43.75
sharedlam2,030000,raw,robot_3cam,69.85,-4.26
sharedlam2,030000,raw,robot_3cam,3.45,-55.53
sharedlam2,030000,raw,robot_3cam,17.63,-26.12
sharedlam2,030000,raw,robot_3cam,7.12,-5.36
sharedlam2,030000,raw,robot_3cam,40.67,-2.09
sharedlam2,030000,raw,robot_3cam,56.99,-39.89
sharedlam2,030000,raw,robot_3cam,0.93,-12.58
sharedlam2,030000,raw,robot_3cam,-4.85,-62.15
sharedlam2,030000,raw,robot_3cam,59.23,7.47
sharedlam2,030000,raw,robot_3cam,37.62,11.92
sharedlam2,030000,raw,robot_3cam,43.94,-1.96
sharedlam2,030000,raw,robot_3cam,53.85,-46.55
sharedlam2,030000,raw,robot_3cam,54.15,19.35
sharedlam2,030000,raw,robot_3cam,26.16,-65.94
sharedlam2,030000,raw,robot_3cam,-10.83,-40.76
sharedlam2,030000,raw,robot_3cam,3.53,-6.05
sharedlam2,030000,raw,robot_3cam,59.27,5.24
sharedlam2,030000,raw,robot_3cam,60.86,-16.16
sharedlam2,030000,raw,robot_3cam,0.12,-9.25
sharedlam2,030000,raw,robot_3cam,-3.33,-50.26
sharedlam2,030000,raw,robot_3cam,71.39,-28.66
sharedlam2,030000,raw,robot_3cam,50.6,3.41
sharedlam2,030000,raw,robot_3cam,56.15,-33.53
sharedlam2,030000,raw,robot_3cam,-11.27,-40.69
sharedlam2,030000,raw,robot_3cam,17.53,-26.19
sharedlam2,030000,raw,robot_3cam,7.64,-50.11
sharedlam2,030000,raw,robot_3cam,35.47,4.03
sharedlam2,030000,raw,robot_3cam,74.09,-26.87
sharedlam2,030000,raw,robot_3cam,1.38,-0.06
sharedlam2,030000,raw,robot_3cam,68.39,-21.65
sharedlam2,030000,raw,robot_3cam,-65.71,-34.06
sharedlam2,030000,raw,robot_3cam,43.6,-57.76
sharedlam2,030000,raw,robot_3cam,60.75,8.63
sharedlam2,030000,raw,robot_3cam,43.73,13.36
sharedlam2,030000,raw,robot_3cam,-2.21,-29.56
sharedlam2,030000,raw,robot_3cam,47.14,-8.8
sharedlam2,030000,raw,robot_3cam,4.35,2.4
sharedlam2,030000,raw,robot_3cam,41.11,4.6
sharedlam2,030000,raw,robot_3cam,30.96,-6.46
sharedlam2,030000,raw,robot_3cam,27.96,-10.56
sharedlam2,030000,raw,robot_3cam,0.27,-54.41
sharedlam2,030000,raw,robot_3cam,34.88,-40.18
sharedlam2,030000,raw,robot_3cam,66.64,-2.68
sharedlam2,030000,raw,robot_3cam,32.93,-42.47
sharedlam2,030000,raw,robot_3cam,54.36,-46.23
sharedlam2,030000,raw,robot_3cam,-11.49,-34.19
sharedlam2,030000,raw,robot_3cam,-9.27,-42.06
sharedlam2,030000,raw,robot_3cam,6.13,-40.55
sharedlam2,030000,raw,robot_3cam,31.92,15.11
sharedlam2,030000,raw,robot_3cam,31.09,-7.36
sharedlam2,030000,raw,robot_3cam,33.91,-8.17
sharedlam2,030000,raw,robot_3cam,0.9,-12.59
sharedlam2,030000,raw,robot_3cam,69.12,4.35
sharedlam2,030000,raw,robot_3cam,44.38,13.93
sharedlam2,030000,raw,robot_3cam,-66.54,-28.8
sharedlam2,030000,raw,robot_3cam,65.42,-29.63
sharedlam2,030000,raw,robot_3cam,50.1,-6.76
sharedlam2,030000,raw,robot_3cam,28.1,-27.88
sharedlam2,030000,raw,robot_3cam,47.38,-52.45
sharedlam2,030000,raw,robot_3cam,19.62,-63.28
sharedlam2,030000,raw,robot_3cam,8.4,0.89
sharedlam2,030000,raw,robot_3cam,44.0,-56.93
sharedlam2,030000,raw,robot_3cam,48.77,30.77
sharedlam2,030000,raw,robot_3cam,52.74,-7.62
sharedlam2,030000,raw,robot_3cam,7.2,2.48
sharedlam2,030000,raw,robot_3cam,10.79,-6.87
sharedlam2,030000,raw,robot_3cam,58.96,-8.8
sharedlam2,030000,raw,robot_3cam,44.98,12.72
sharedlam2,030000,raw,robot_3cam,-9.28,-49.58
sharedlam2,030000,raw,robot_3cam,-0.27,-21.62
sharedlam2,030000,raw,robot_3cam,15.97,-16.27
sharedlam2,030000,raw,robot_3cam,48.36,30.97
sharedlam2,030000,raw,robot_3cam,26.49,-67.52
sharedlam2,030000,raw,robot_3cam,49.52,17.27
sharedlam2,030000,raw,robot_3cam,66.93,-14.91
sharedlam2,030000,raw,robot_3cam,-0.38,-54.23
sharedlam2,030000,raw,robot_3cam,50.4,-30.27
