benchmark,method,teacher_job,ckpt_step,probe,target,action_dim,dim_name,r2,n_train,n_test,source_dir,note
realworld,ours_multi,43524549,30000,ridge,future_action_mean,3,droll,0.366628,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,future_action_mean,4,dpitch,0.257527,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,future_action_mean,5,dyaw,0.640749,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,future_action_mean,6,gripper,0.246815,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,current_action,-1,mean,0.619619,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,future_action_mean,-1,mean,0.629099,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,current_action,-1,mean,0.436664,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,future_action_mean,-1,mean,0.45434,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_single,44160743,30000,mlp,current_action,0,dx,0.756769,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,current_action,1,dy,0.848128,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,current_action,2,dz,0.934644,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,current_action,3,droll,0.439497,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,current_action,4,dpitch,0.427896,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
