model,checkpoint,source,umap_x,umap_y
sharedlam2,001000,robot_3cam,9.53,3.76
sharedlam2,001000,robot_3cam,8.99,4.07
sharedlam2,001000,robot_3cam,11.45,3.64
sharedlam2,001000,robot_3cam,8.68,0.84
sharedlam2,001000,robot_3cam,11.76,2.21
sharedlam2,001000,robot_3cam,9.25,3.0
sharedlam2,001000,robot_3cam,10.04,2.81
sharedlam2,001000,robot_3cam,8.11,2.9
sharedlam2,001000,robot_3cam,11.44,3.69
sharedlam2,001000,robot_3cam,10.87,4.06
sharedlam2,001000,robot_3cam,8.76,3.24
sharedlam2,001000,robot_3cam,11.69,2.77
sharedlam2,001000,robot_3cam,9.87,3.42
sharedlam2,001000,robot_3cam,9.64,3.33
sharedlam2,001000,robot_3cam,9.24,3.89
sharedlam2,001000,robot_3cam,8.76,1.49
sharedlam2,001000,robot_3cam,8.12,2.93
sharedlam2,001000,robot_3cam,9.62,2.41
sharedlam2,001000,robot_3cam,10.47,3.63
sharedlam2,001000,robot_3cam,8.58,2.76
sharedlam2,001000,robot_3cam,9.27,1.1
sharedlam2,001000,robot_3cam,9.99,3.13
sharedlam2,001000,robot_3cam,11.61,1.42
sharedlam2,001000,robot_3cam,9.22,3.37
sharedlam2,001000,robot_3cam,9.45,0.87
sharedlam2,001000,robot_3cam,8.39,0.53
sharedlam2,001000,robot_3cam,9.08,2.83
sharedlam2,001000,robot_3cam,11.01,1.8
sharedlam2,001000,robot_3cam,9.65,3.82
sharedlam2,001000,robot_3cam,9.33,2.98
sharedlam2,001000,robot_3cam,8.8,3.07
sharedlam2,001000,robot_3cam,8.08,2.78
sharedlam2,001000,robot_3cam,11.98,2.87
sharedlam2,001000,robot_3cam,9.52,2.31
sharedlam2,001000,robot_3cam,9.8,2.98
sharedlam2,001000,robot_3cam,12.01,2.95
sharedlam2,001000,robot_3cam,10.52,1.36
sharedlam2,001000,robot_3cam,9.1,3.16
sharedlam2,001000,robot_3cam,11.55,3.05
sharedlam2,001000,robot_3cam,10.91,4.07
sharedlam2,001000,robot_3cam,9.95,2.9
sharedlam2,001000,robot_3cam,9.69,3.0
sharedlam2,001000,robot_3cam,9.14,0.14
sharedlam2,001000,robot_3cam,8.91,3.53
sharedlam2,001000,robot_3cam,9.22,3.95
sharedlam2,001000,robot_3cam,8.09,2.93
sharedlam2,001000,robot_3cam,9.1,3.76
sharedlam2,001000,robot_3cam,10.19,3.5
sharedlam2,001000,robot_3cam,8.94,3.87
sharedlam2,001000,robot_3cam,8.96,3.55
sharedlam2,001000,robot_3cam,10.35,3.31
sharedlam2,001000,robot_3cam,11.22,2.57
sharedlam2,001000,robot_3cam,11.59,1.43
sharedlam2,001000,robot_3cam,8.99,4.1
sharedlam2,001000,robot_3cam,8.55,2.67
sharedlam2,001000,robot_3cam,9.95,3.51
sharedlam2,001000,robot_3cam,11.78,1.87
sharedlam2,001000,robot_3cam,8.08,2.9
sharedlam2,001000,robot_3cam,9.54,1.09
sharedlam2,001000,robot_3cam,11.7,2.21
sharedlam2,001000,robot_3cam,11.44,2.31
sharedlam2,001000,robot_3cam,10.32,3.07
