model,model_label,view,source,tsne_x,tsne_y
sharedlam2,front+side,raw latent (8-D),robot_3cam,-58.25,-10.7
sharedlam2,front+side,raw latent (8-D),robot_3cam,-40.65,-55.2
sharedlam2,front+side,raw latent (8-D),robot_3cam,-24.24,-76.88
sharedlam2,front+side,raw latent (8-D),robot_3cam,-36.58,-0.43
sharedlam2,front+side,raw latent (8-D),robot_3cam,30.13,-45.5
sharedlam2,front+side,raw latent (8-D),robot_3cam,37.5,-36.99
sharedlam2,front+side,raw latent (8-D),robot_3cam,1.09,-47.88
sharedlam2,front+side,raw latent (8-D),robot_3cam,-56.28,-21.58
sharedlam2,front+side,raw latent (8-D),robot_3cam,-33.55,-48.11
sharedlam2,front+side,raw latent (8-D),robot_3cam,1.78,-51.54
sharedlam2,front+side,raw latent (8-D),robot_3cam,-53.57,7.89
sharedlam2,front+side,raw latent (8-D),robot_3cam,-16.82,-30.12
sharedlam2,front+side,raw latent (8-D),robot_3cam,-31.91,-1.14
sharedlam2,front+side,raw latent (8-D),robot_3cam,-36.77,-21.2
sharedlam2,front+side,raw latent (8-D),robot_3cam,8.92,-41.88
sharedlam2,front+side,raw latent (8-D),robot_3cam,-37.39,-2.56
sharedlam2,front+side,raw latent (8-D),robot_3cam,-33.57,-14.69
sharedlam2,front+side,raw latent (8-D),robot_3cam,0.22,-45.7
sharedlam2,front+side,raw latent (8-D),robot_3cam,-34.61,-1.55
sharedlam2,front+side,raw latent (8-D),robot_3cam,-24.61,-72.92
sharedlam2,front+side,raw latent (8-D),robot_3cam,2.94,-46.99
sharedlam2,front+side,raw latent (8-D),robot_3cam,-30.09,-70.2
sharedlam2,front+side,raw latent (8-D),robot_3cam,-47.65,-12.94
sharedlam2,front+side,raw latent (8-D),robot_3cam,-36.4,1.69
sharedlam2,front+side,raw latent (8-D),robot_3cam,-23.34,-70.94
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.71,-52.95
sharedlam2,front+side,raw latent (8-D),robot_3cam,-58.71,-41.62
sharedlam2,front+side,raw latent (8-D),robot_3cam,-15.24,-15.23
sharedlam2,front+side,raw latent (8-D),robot_3cam,-40.57,-10.15
sharedlam2,front+side,raw latent (8-D),robot_3cam,-24.25,-62.43
sharedlam2,front+side,raw latent (8-D),robot_3cam,-36.34,-1.68
sharedlam2,front+side,raw latent (8-D),robot_3cam,-56.65,5.96
sharedlam2,front+side,raw latent (8-D),robot_3cam,-65.05,-14.06
sharedlam2,front+side,raw latent (8-D),robot_3cam,-22.9,-54.0
sharedlam2,front+side,raw latent (8-D),robot_3cam,13.59,-27.78
sharedlam2,front+side,raw latent (8-D),robot_3cam,-36.07,-6.14
sharedlam2,front+side,raw latent (8-D),robot_3cam,33.27,-35.34
sharedlam2,front+side,raw latent (8-D),robot_3cam,-25.31,-13.16
sharedlam2,front+side,raw latent (8-D),robot_3cam,-14.09,-41.0
sharedlam2,front+side,raw latent (8-D),robot_3cam,-38.62,-55.36
sharedlam2,front+side,raw latent (8-D),robot_3cam,9.75,-67.24
sharedlam2,front+side,raw latent (8-D),robot_3cam,-11.7,-50.93
sharedlam2,front+side,raw latent (8-D),robot_3cam,-49.08,-13.34
sharedlam2,front+side,raw latent (8-D),robot_3cam,-28.03,-60.92
sharedlam2,front+side,raw latent (8-D),robot_3cam,21.07,-55.92
sharedlam2,front+side,raw latent (8-D),robot_3cam,-14.03,-0.94
sharedlam2,front+side,raw latent (8-D),robot_3cam,-48.42,-40.29
sharedlam2,front+side,raw latent (8-D),robot_3cam,-55.53,-20.94
sharedlam2,front+side,raw latent (8-D),robot_3cam,-55.72,-23.97
sharedlam2,front+side,raw latent (8-D),robot_3cam,-12.15,-32.54
sharedlam2,front+side,raw latent (8-D),robot_3cam,-49.66,-42.48
sharedlam2,front+side,raw latent (8-D),robot_3cam,-15.43,-8.02
sharedlam2,front+side,raw latent (8-D),robot_3cam,-27.24,6.04
sharedlam2,front+side,raw latent (8-D),robot_3cam,26.8,-37.26
sharedlam2,front+side,raw latent (8-D),robot_3cam,-50.22,-33.18
sharedlam2,front+side,raw latent (8-D),robot_3cam,33.03,-52.87
sharedlam2,front+side,raw latent (8-D),robot_3cam,-33.31,-37.9
sharedlam2,front+side,raw latent (8-D),robot_3cam,-24.36,-33.75
sharedlam2,front+side,raw latent (8-D),robot_3cam,32.34,-50.77
sharedlam2,front+side,raw latent (8-D),robot_3cam,-60.84,-28.5
sharedlam2,front+side,raw latent (8-D),robot_3cam,-56.99,0.07
sharedlam2,front+side,raw latent (8-D),robot_3cam,-20.17,-42.73
sharedlam2,front+side,raw latent (8-D),robot_3cam,-12.16,-9.92
sharedlam2,front+side,raw latent (8-D),robot_3cam,-2.06,-54.24
sharedlam2,front+side,raw latent (8-D),robot_3cam,-59.26,-14.27
sharedlam2,front+side,raw latent (8-D),robot_3cam,-5.52,-27.72
sharedlam2,front+side,raw latent (8-D),robot_3cam,-28.76,-41.87
sharedlam2,front+side,raw latent (8-D),robot_3cam,-54.01,5.12
sharedlam2,front+side,raw latent (8-D),robot_3cam,-20.57,-19.45
sharedlam2,front+side,raw latent (8-D),robot_3cam,8.86,-49.68
sharedlam2,front+side,raw latent (8-D),robot_3cam,-22.87,3.22
sharedlam2,front+side,raw latent (8-D),robot_3cam,4.55,-29.3
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.59,-39.88
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.07,8.44
sharedlam2,front+side,raw latent (8-D),robot_3cam,8.09,-50.43
sharedlam2,front+side,raw latent (8-D),robot_3cam,-30.01,-38.08
sharedlam2,front+side,raw latent (8-D),robot_3cam,-18.23,-75.6
sharedlam2,front+side,raw latent (8-D),robot_3cam,4.15,-27.88
sharedlam2,front+side,raw latent (8-D),robot_3cam,-56.87,-23.91
sharedlam2,front+side,raw latent (8-D),robot_3cam,-16.5,-49.85
sharedlam2,front+side,raw latent (8-D),robot_3cam,-55.39,-0.89
sharedlam2,front+side,raw latent (8-D),robot_3cam,-44.74,-9.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,-67.94,-10.71
sharedlam2,front+side,raw latent (8-D),robot_3cam,-14.27,-12.15
sharedlam2,front+side,raw latent (8-D),robot_3cam,28.09,-50.91
sharedlam2,front+side,raw latent (8-D),robot_3cam,-37.44,-37.61
sharedlam2,front+side,raw latent (8-D),robot_3cam,1.76,-27.94
sharedlam2,front+side,raw latent (8-D),robot_3cam,-13.23,-4.62
sharedlam2,front+side,raw latent (8-D),robot_3cam,-46.45,8.34
sharedlam2,front+side,raw latent (8-D),robot_3cam,-1.23,-37.7
sharedlam2,front+side,raw latent (8-D),robot_3cam,-14.89,-1.6
sharedlam2,front+side,raw latent (8-D),robot_3cam,-48.38,7.62
sharedlam2,front+side,raw latent (8-D),robot_3cam,-46.63,-48.67
sharedlam2,front+side,raw latent (8-D),robot_3cam,-55.28,3.32
sharedlam2,front+side,raw latent (8-D),robot_3cam,-17.51,2.36
sharedlam2,front+side,raw latent (8-D),robot_3cam,-61.45,-5.02
sharedlam2,front+side,raw latent (8-D),robot_3cam,28.39,-27.26
sharedlam2,front+side,raw latent (8-D),robot_3cam,29.74,-47.6
sharedlam2,front+side,raw latent (8-D),robot_3cam,-28.36,-37.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,-23.75,-20.23
sharedlam2,front+side,raw latent (8-D),robot_3cam,-39.03,-41.74
sharedlam2,front+side,raw latent (8-D),robot_3cam,30.38,-44.75
sharedlam2,front+side,raw latent (8-D),robot_3cam,-13.9,-48.36
sharedlam2,front+side,raw latent (8-D),robot_3cam,-22.03,1.24
sharedlam2,front+side,raw latent (8-D),robot_3cam,7.48,-68.21
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.79,-17.14
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.57,-53.36
sharedlam2,front+side,raw latent (8-D),robot_3cam,-18.61,-37.13
sharedlam2,front+side,raw latent (8-D),robot_3cam,-1.6,-29.79
sharedlam2,front+side,raw latent (8-D),robot_3cam,-47.67,-12.99
sharedlam2,front+side,raw latent (8-D),robot_3cam,-16.1,-46.05
sharedlam2,front+side,raw latent (8-D),robot_3cam,-16.52,-20.79
sharedlam2,front+side,raw latent (8-D),robot_3cam,31.39,-47.98
sharedlam2,front+side,raw latent (8-D),robot_3cam,9.16,-46.82
sharedlam2,front+side,raw latent (8-D),robot_3cam,-19.97,-35.77
sharedlam2,front+side,raw latent (8-D),robot_3cam,-12.45,1.19
