teacher,n_emb,checkpoint,embodiment,umap_x,umap_y
xemb1iiwa,2,001000,franka,-5.54,5.7
xemb1iiwa,2,001000,franka,2.67,22.83
xemb1iiwa,2,001000,franka,12.17,25.27
xemb1iiwa,2,001000,franka,-3.76,9.5
xemb1iiwa,2,001000,franka,8.06,-3.74
xemb1iiwa,2,001000,franka,11.92,25.0
xemb1iiwa,2,001000,franka,11.73,25.26
xemb1iiwa,2,001000,franka,12.28,25.24
xemb1iiwa,2,001000,franka,7.49,-3.83
xemb1iiwa,2,001000,franka,-5.36,5.5
xemb1iiwa,2,001000,franka,1.82,23.01
xemb1iiwa,2,001000,franka,11.33,24.4
xemb1iiwa,2,001000,franka,7.91,-8.37
xemb1iiwa,2,001000,franka,-5.97,5.34
xemb1iiwa,2,001000,franka,-3.65,10.37
xemb1iiwa,2,001000,franka,-4.88,8.23
xemb1iiwa,2,001000,franka,-4.54,9.96
xemb1iiwa,2,001000,franka,7.77,-3.53
xemb1iiwa,2,001000,franka,1.85,22.76
xemb1iiwa,2,001000,franka,7.42,-3.82
xemb1iiwa,2,001000,franka,-3.75,10.37
xemb1iiwa,2,001000,franka,-5.46,5.73
xemb1iiwa,2,001000,franka,-4.96,9.91
xemb1iiwa,2,001000,franka,8.09,-8.37
xemb1iiwa,2,001000,franka,-3.73,10.02
xemb1iiwa,2,001000,franka,12.2,25.3
xemb1iiwa,2,001000,franka,11.12,25.64
xemb1iiwa,2,001000,franka,8.07,-3.49
xemb1iiwa,2,001000,franka,11.45,25.5
xemb1iiwa,2,001000,franka,2.09,23.05
xemb1iiwa,2,001000,franka,-4.29,9.99
xemb1iiwa,2,001000,franka,-4.72,7.71
xemb1iiwa,2,001000,franka,12.36,25.43
xemb1iiwa,2,001000,franka,7.96,-3.57
xemb1iiwa,2,001000,franka,7.38,-3.9
xemb1iiwa,2,001000,franka,-4.49,8.35
xemb1iiwa,2,001000,franka,-4.81,7.68
xemb1iiwa,2,001000,franka,-4.88,7.84
xemb1iiwa,2,001000,franka,-3.86,10.24
xemb1iiwa,2,001000,franka,1.84,23.04
xemb1iiwa,2,001000,franka,-3.65,9.93
xemb1iiwa,2,001000,franka,6.97,-3.7
xemb1iiwa,2,001000,franka,2.01,23.11
xemb1iiwa,2,001000,franka,6.95,-3.67
xemb1iiwa,2,001000,franka,-4.36,9.86
xemb1iiwa,2,001000,franka,11.6,25.0
xemb1iiwa,2,001000,franka,8.0,-3.4
xemb1iiwa,2,001000,franka,3.48,22.72
xemb1iiwa,2,001000,franka,12.14,25.04
xemb1iiwa,2,001000,franka,1.99,23.09
xemb1iiwa,2,001000,franka,11.05,25.65
xemb1iiwa,2,001000,franka,-5.41,5.71
xemb1iiwa,2,001000,franka,1.86,23.09
xemb1iiwa,2,001000,franka,-5.95,5.35
xemb1iiwa,2,001000,franka,11.99,25.1
xemb1iiwa,2,001000,franka,-4.45,10.03
xemb1iiwa,2,001000,franka,11.73,25.06
xemb1iiwa,2,001000,franka,-3.54,10.56
xemb1iiwa,2,001000,franka,-3.5,9.5
xemb1iiwa,2,001000,franka,6.9,-3.77
xemb1iiwa,2,001000,franka,11.07,25.38
xemb1iiwa,2,001000,franka,-4.25,9.65
xemb1iiwa,2,001000,franka,12.56,25.16
xemb1iiwa,2,001000,franka,-4.12,8.56
xemb1iiwa,2,001000,franka,11.8,25.1
xemb1iiwa,2,001000,franka,11.33,24.83
xemb1iiwa,2,001000,franka,2.02,23.09
xemb1iiwa,2,001000,franka,7.69,-8.51
xemb1iiwa,2,001000,franka,-5.21,7.58
xemb1iiwa,2,001000,franka,-4.11,9.87
xemb1iiwa,2,001000,franka,11.86,25.44
xemb1iiwa,2,001000,franka,-5.86,5.37
xemb1iiwa,2,001000,franka,-5.24,6.09
xemb1iiwa,2,001000,franka,12.3,25.32
xemb1iiwa,2,001000,franka,12.3,25.27
xemb1iiwa,2,001000,franka,11.99,24.8
xemb1iiwa,2,001000,franka,7.12,-3.78
xemb1iiwa,2,001000,franka,-3.75,9.55
xemb1iiwa,2,001000,franka,11.59,25.29
xemb1iiwa,2,001000,franka,-5.71,5.26
xemb1iiwa,2,001000,franka,8.07,-3.74
xemb1iiwa,2,001000,franka,1.83,23.08
xemb1iiwa,2,001000,franka,-2.86,9.45
xemb1iiwa,2,001000,franka,-5.62,5.43
xemb1iiwa,2,001000,franka,12.17,25.17
xemb1iiwa,2,001000,franka,-3.78,10.32
xemb1iiwa,2,001000,franka,11.87,25.28
xemb1iiwa,2,001000,franka,12.11,25.3
xemb1iiwa,2,001000,franka,2.7,22.83
xemb1iiwa,2,001000,franka,-4.82,8.5
xemb1iiwa,2,001000,franka,8.07,-3.58
xemb1iiwa,2,001000,franka,7.81,-8.37
xemb1iiwa,2,001000,franka,-5.9,5.33
xemb1iiwa,2,001000,franka,11.61,25.46
xemb1iiwa,2,001000,franka,-4.73,9.74
xemb1iiwa,2,001000,franka,1.81,23.13
xemb1iiwa,2,001000,franka,3.47,22.71
xemb1iiwa,2,001000,franka,-4.23,9.63
xemb1iiwa,2,001000,franka,-5.28,6.01
xemb1iiwa,2,001000,franka,-4.14,9.39
xemb1iiwa,2,001000,franka,7.13,-3.77
xemb1iiwa,2,001000,franka,-5.27,6.09
xemb1iiwa,2,001000,franka,7.43,-3.93
xemb1iiwa,2,001000,franka,-5.48,5.47
xemb1iiwa,2,001000,franka,-3.63,10.11
xemb1iiwa,2,001000,franka,11.5,24.3
xemb1iiwa,2,001000,franka,11.55,25.51
xemb1iiwa,2,001000,franka,2.67,22.85
xemb1iiwa,2,001000,franka,12.19,25.14
xemb1iiwa,2,001000,franka,-5.22,7.62
xemb1iiwa,2,001000,franka,12.31,25.39
xemb1iiwa,2,001000,franka,-5.83,5.33
xemb1iiwa,2,001000,franka,8.06,-3.69
xemb1iiwa,2,001000,franka,-5.67,5.26
xemb1iiwa,2,001000,franka,-3.78,10.42
xemb1iiwa,2,001000,franka,-4.19,9.66
xemb1iiwa,2,001000,franka,10.58,24.26
xemb1iiwa,2,001000,franka,12.02,24.96
xemb1iiwa,2,001000,franka,11.12,25.65
xemb1iiwa,2,001000,franka,-4.24,10.07
xemb1iiwa,2,001000,franka,-5.03,6.07
xemb1iiwa,2,001000,franka,8.09,-3.76
xemb1iiwa,2,001000,franka,-2.74,9.51
xemb1iiwa,2,001000,franka,12.55,25.14
xemb1iiwa,2,001000,franka,12.54,25.13
xemb1iiwa,2,001000,franka,7.77,-8.51
xemb1iiwa,2,001000,franka,-3.56,10.56
xemb1iiwa,2,001000,franka,-4.39,10.04
xemb1iiwa,2,001000,franka,-4.87,8.23
xemb1iiwa,2,001000,franka,1.79,22.76
xemb1iiwa,2,001000,franka,11.58,25.46
xemb1iiwa,2,001000,franka,11.23,25.08
xemb1iiwa,2,001000,franka,-2.8,9.51
xemb1iiwa,2,001000,franka,-3.81,10.11
xemb1iiwa,2,001000,franka,11.51,24.61
xemb1iiwa,2,001000,franka,8.12,-3.73
xemb1iiwa,2,001000,franka,-5.58,5.69
xemb1iiwa,2,001000,franka,6.93,-3.81
xemb1iiwa,2,001000,franka,11.59,25.53
xemb1iiwa,2,001000,franka,-4.15,9.59
xemb1iiwa,2,001000,franka,2.65,22.85
xemb1iiwa,2,001000,franka,-3.84,10.25
xemb1iiwa,2,001000,franka,-3.9,8.69
xemb1iiwa,2,001000,franka,-5.11,7.62
xemb1iiwa,2,001000,franka,-4.29,9.96
xemb1iiwa,2,001000,franka,-4.53,8.22
xemb1iiwa,2,001000,franka,-5.56,5.67
xemb1iiwa,2,001000,franka,2.05,22.87
xemb1iiwa,2,001000,franka,11.59,25.54
xemb1iiwa,2,001000,franka,-4.54,8.06
xemb1iiwa,2,001000,franka,8.09,-3.58
xemb1iiwa,2,001000,franka,7.28,-3.71
xemb1iiwa,2,001000,franka,-4.38,8.78
xemb1iiwa,2,001000,franka,-4.1,9.91
xemb1iiwa,2,001000,franka,8.02,-3.76
xemb1iiwa,2,001000,franka,11.96,25.17
